Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,
Afghanistan,60,114,161,214,281,350,554,847,924,1044,1094,,
Albania,131,175,237,333,372,439,513,568,581,611,678,,
Algeria,2221,2680,3396,4642,6020,7718,9551,11044,12759,14390,15564,,
Angola,22036,26556,31736,48413,63028,71541,69841,78721,88734,93310,111188,,
Argentina,46566,51221,55876,60529,65185,69840,74493,79148,83803,88968,90770,,
Armenia,250,320,449,579,740,941,1188,1530,1871,2190,2305,,
Australia,11963,13046,14300,16773,18156,19427,20695,21869,22890,23827,25134,,
Austria,...,...,...,...,...,...,...,...,...,...,...,,
Azerbaijan,587,941,1301,1771,1834,2374,2885,3658,4374,5086,5618,,
Bahamas,1362,1349,1658,1990,2361,2319,2280,2969,3107,3020,2992,,
Bahrain,62,71,79,87,99,115,121,140,149,155,161,,
Bangladesh,454,664,831,1083,1287,1483,1817,2470,3045,3388,5043,,
Barbados,873,929,1014,1077,1105,1139,1196,1271,1323,1405,1406,,
Belarus,2615,3223,4274,5181,5918,7392,8564,11242,15524,17714,18765,,
Belgium,...,...,...,...,...,...,...,...,...,...,...,,
Belize,779,861,864,985,1059,1128,1268,1293,1383,1530,1490,,
Benin,20108,25535,27888,24811,28850,33602,38111,38360,44232,48986,52497,,
Bhutan,65,86,120,158,193,267,317,405,483,548,598,,
Bolivia(PlurinationalStateof),1261,1266,2346,2965,3803,5274,6429,7556,9895,11639,11784,,
BosniaandHerzegovina,49,64,80,96,94,117,163,204,225,247,270,,
Botswana,159350,177776,205036,223506,232292,255119,273054,285983,307377,313850,324931,,
Brazil,346398,373835,400976,428313,456126,484494,520478,550028,581182,613951,648971,,
BruneiDarussalam,22,28,33,41,51,62,142,167,190,186,241,,
Bulgaria,386,455,542,637,723,829,891,1204,1457,1658,1790,,
BurkinaFaso,31543,36248,38652,42126,46623,52248,57177,64076,60038,68729,70156,,
Burundi,22735,26402,29121,32801,36888,42169,51917,60115,65483,71743,73033,,
CaboVerde,593,693,864,996,1211,1355,1616,1809,2153,2368,2556,,
Cambodia,40515,44013,46433,48309,50435,52454,54653,56668,59209,61371,62310,,
Cameroon,89455,105653,122783,131594,145038,168249,205382,253793,281083,311948,367871,,
Canada,...,...,...,...,39586,...,42532,...,46051,...,...,,
CentralAfricanRepublic,15287,14405,16632,16568,24142,28303,31593,36703,39641,47032,50805,,
Chad,31919,32832,36526,38873,47148,57316,44207,51868,61352,69379,77017,,
Chile,14356,15617,19071,22706,25106,28081,32738,39088,45103,50270,54153,,
China,87950,128473,172740,230826,299212,386139,494657,609829,718499,863189,978138,,
Colombia,22588,31270,37386,45571,55319,66889,75993,78228,83677,89022,115991,,
Comoros,17,19,24,27,30,40,44,50,60,77,85,,
Congo,14870,16881,17234,19563,19346,25246,27296,29060,31226,26030,27371,,
CostaRica,3345,3692,3955,4314,4672,5623,6183,6960,8113,9081,8308,,
Croatia,489,552,620,690,771,880,987,1059,1146,1200,1265,,
Cuba,6001,7463,8742,10193,12597,15241,17242,19466,21946,24514,24863,,
Cyprus,...,...,...,...,...,...,...,...,...,...,...,,
Czechia,...,...,...,...,...,...,...,...,...,...,...,,
Côted'Ivoire,81458,98464,109925,122959,140710,158002,189964,230463,252125,269137,280848,,
DemocraticPeople'sRepublicofKorea,0,0,0,0,0,3,3000,3000,3000,3000,22,,
DemocraticRepublicoftheCongo,43790,53393,66305,79560,101324,121762,157072,213995,256486,321222,376617,,
Denmark,3576,3862,4149,4235,4667,4947,5207,5447,5657,5923,6023,,
Djibouti,967,1042,1287,1381,1593,1945,2229,2454,2680,1928,2063,,
DominicanRepublic,14823,17023,19261,20780,23346,25235,27357,29708,32265,34839,38270,,
Ecuador,7168,8947,9396,10234,12624,15491,18275,21526,25148,30812,34121,,
Egypt,579,743,939,1224,1780,2220,3168,4753,6693,8364,10352,,
